Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,
Senegal,SEN,61,,,,,63,,,,,65,,,,,68,,,69,,,
Serbia,SRB,,,,,,,,,,,99,,,,,99,,,99,,,
Seychelles,SYC,,,,,,,,,,,,,,,,,,,,,,
Sierra Leone,SLE,,,,,,57,,,,,55,,,,,51,,,49,,,
Singapore,SGP,100,,,,,100,,,,,100,,,,,100,,,100,,,
Sint Maarten (Dutch part),SXM,,,,,,,,,,,,,,,,,,,,,,
Slovak Republic,SVK,,,,,,,,,,,100,,,,,100,,,100,,,
Slovenia,SVN,100,,,,,100,,,,,100,,,,,99,,,99,,,
Solomon Islands,SLB,,,,,,69,,,,,70,,,,,69,,,,,,
Somalia,SOM,,,,,,21,,,,,23,,,,,28,,,30,,,
South Africa,ZAF,83,,,,,84,,,,,86,,,,,89,,,91,,,
South Sudan,SSD,,,,,,,,,,,,,,,,,,,,,,
Spain,ESP,100,,,,,100,,,,,100,,,,,100,,,100,,,
Sri Lanka,LKA,67,,,,,73,,,,,80,,,,,86,,,90,,,
St. Kitts and Nevis,KNA,99,,,,,99,,,,,99,,99,,100,99,,,99,,,
St. Lucia,LCA,98,,,,,98,,,,,98,,98,,98,98,,,98,,,
St. Martin (French part),MAF,,,,,,,,,,,,,,,,,,,,,,
St. Vincent and the Grenadines,VCT,,,,,,,,,,,,,,,,,,,,,,
Sudan,SDN,65,,,,,63,,,,,61,,,,,59,,,57,,,
Suriname,SUR,,,,,,91,,,,,91,,92,,92,92,,,93,,,
Swaziland,SWZ,,,,,,53,,,,,55,,,,,64,,,69,,,
Sweden,SWE,100,,,,,100,,,,,100,,,,,100,,,100,,,
Switzerland,CHE,100,,,,,100,,,,,100,,,,,100,,,100,,,
Syrian Arab Republic,SYR,85,,,,,86,,,,,87,,,,,89,,,89,,,
Tajikistan,TJK,,,,,,58,,,,,60,,,,,67,,,70,,,
Tanzania,TZA,55,,,,,54,,,,,54,,,,,54,,,54,,,
Thailand,THA,91,,,,,94,,,,,96,,,,,98,,,98,,,
Timor-Leste,TMP,,,,,,,,,,,52,,,,,63,,,69,,,
Togo,TGO,49,,,,,52,,,,,55,,,,,58,,,60,,,
Tonga,TON,,,,,,100,,,,,100,,,,,100,,,100,,,
Trinidad and Tobago,TTO,88,,,,,90,,,,,91,,77,,91,93,,,94,,,
Tunisia,TUN,81,,,,,86,,,,,90,,,,,94,,,94,,,
Turkey,TUR,85,,,,,89,,,,,93,,,,,97,,,99,,,
Turkmenistan,TKM,,,,,,,,,,,83,,,,,,,,,,,
Turks and Caicos Islands,TCA,100,,,,,100,,,,,100,,,,,100,,,100,,,
Tuvalu,TUV,90,,,,,92,,,,,94,,,,,96,,,97,,,
Uganda,UGA,43,,,,,50,,,,,57,,,,,64,,,67,,,
Ukraine,UKR,,,,,,96,,,,,97,,,,,98,,,98,,,
United Arab Emirates,ARE,100,,,,,100,,,,,100,,,,,100,,,100,,,
United Kingdom,GBR,100,,,,,100,,,,,100,,,,,100,,,100,,,
United States,USA,99,,,,,99,,,,,99,,,,,99,,,99,,,
Uruguay,URY,96,,,,,96,,,,,98,,,,,100,,,100,,,
Uzbekistan,UZB,90,,,,,90,,,,,89,,,,,88,,,87,,,
Vanuatu,VUT,57,,,,,64,,,,,72,,,,,78,,,83,,,
"Venezuela, RB",VEN,90,,,,,91,,,,,92,,,,,93,,,,,,
Vietnam,VNM,58,,,,,68,,,,,79,,,,,88,,,94,,,
Virgin Islands (U.S.),VIR,,,,,,,,,,,,,,,,,,,,,,
West Bank and Gaza,WBG,,,,,,95,,,,,93,,,,,91,,,91,,,
"Yemen, Rep.",YEM,,,,,,67,,,,,65,,,,,63,,,62,,,
Zambia,ZMB,49,,,,,51,,,,,54,,,,,58,,,60,,,
Zimbabwe,ZWE,78,,,,,79,,,,,80,,,,,82,,,82,,,
