Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,
Nicaragua,NIC,,,50,,,,,38,,,,,25,,,,,19,,,,
Niger,NER,,,37,,,,,37,,,,,27,,,,,20,,,,
Nigeria,NGA,,,16,,,,,10,,,,,9,,,,,6,,,,
Northern Mariana Islands,MNP,,,,,,,,,,,,,,,,,,,,,,
Norway,NOR,,,5,,,,,5,,,,,5,,,,,5,,,,
Oman,OMN,,,,,,,,,,,,,,,,,,,,,,
Pakistan,PAK,,,25,,,,,20,,,,,24,,,,,26,,,,
Palau,PLW,,,,,,,,,,,,,,,,,,,,,,
Panama,PAN,,,18,,,,,20,,,,,19,,,,,15,,,,
Papua New Guinea,PNG,,,,,,,,,,,,,,,,,,,,,,
Paraguay,PRY,,,16,,,,,10,,,,,10,,,,,11,,,,
Peru,PER,,,27,,,,,21,,,,,18,,,,,15,,,,
Philippines,PHL,,,24,,,,,20,,,,,18,,,,,15,,,,
Poland,POL,,,5,,,,,5,,,,,5,,,,,5,,,,
Portugal,PRT,,,5,,,,,5,,,,,5,,,,,5,,,,
Puerto Rico,PRI,,,,,,,,,,,,,,,,,,,,,,
Qatar,QAT,,,,,,,,,,,,,,,,,,,,,,
Romania,ROM,,,5,,,,,5,,,,,5,,,,,5,,,,
Russian Federation,RUS,,,5,,,,,5,,,,,5,,,,,5,,,,
Rwanda,RWA,,,44,,,,,53,,,,,38,,,,,34,,,,
Samoa,WSM,,,9,,,,,10,,,,,5,,,,,5,,,,
San Marino,SMR,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,STP,,,14,,,,,15,,,,,8,,,,,5,,,,
Saudi Arabia,SAU,,,5,,,,,5,,,,,5,,,,,5,,,,
Senegal,SEN,,,22,,,,,26,,,,,26,,,,,17,,,,
Serbia,SRB,,,,,,,,,,,,,,,,,,,,,,
Seychelles,SYC,,,11,,,,,10,,,,,8,,,,,7,,,,
Sierra Leone,SLE,,,45,,,,,39,,,,,43,,,,,35,,,,
Singapore,SGP,,,,,,,,,,,,,,,,,,,,,,
Sint Maarten (Dutch part),SXM,,,,,,,,,,,,,,,,,,,,,,
Slovak Republic,SVK,,,5,,,,,5,,,,,5,,,,,5,,,,
Slovenia,SVN,,,5,,,,,5,,,,,5,,,,,5,,,,
Solomon Islands,SLB,,,21,,,,,13,,,,,12,,,,,10,,,,
Somalia,SOM,,,,,,,,,,,,,,,,,,,,,,
South Africa,ZAF,,,5,,,,,5,,,,,5,,,,,5,,,,
South Sudan,SSD,,,,,,,,,,,,,,,,,,,,,,
Spain,ESP,,,5,,,,,5,,,,,5,,,,,5,,,,
Sri Lanka,LKA,,,28,,,,,25,,,,,20,,,,,19,,,,
St. Kitts and Nevis,KNA,,,11,,,,,16,,,,,14,,,,,16,,,,
St. Lucia,LCA,,,9,,,,,7,,,,,8,,,,,8,,,,
St. Martin (French part),MAF,,,,,,,,,,,,,,,,,,,,,,
St. Vincent and the Grenadines,VCT,,,16,,,,,16,,,,,9,,,,,5,,,,
Sudan,SDN,,,39,,,,,29,,,,,28,,,,,22,,,,
Suriname,SUR,,,14,,,,,13,,,,,15,,,,,14,,,,
Swaziland,SWZ,,,12,,,,,21,,,,,18,,,,,18,,,,
Sweden,SWE,,,5,,,,,5,,,,,5,,,,,5,,,,
Switzerland,CHE,,,5,,,,,5,,,,,5,,,,,5,,,,
Syrian Arab Republic,SYR,,,5,,,,,5,,,,,5,,,,,5,,,,
Tajikistan,TJK,,,34,,,,,42,,,,,46,,,,,30,,,,
Tanzania,TZA,,,28,,,,,40,,,,,39,,,,,34,,,,
Thailand,THA,,,26,,,,,18,,,,,18,,,,,16,,,,
Timor-Leste,TMP,,,39,,,,,32,,,,,28,,,,,31,,,,
Togo,TGO,,,43,,,,,36,,,,,36,,,,,30,,,,
Tonga,TON,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,TTO,,,11,,,,,14,,,,,11,,,,,11,,,,
Tunisia,TUN,,,5,,,,,5,,,,,5,,,,,5,,,,
Turkey,TUR,,,5,,,,,5,,,,,5,,,,,5,,,,
Turkmenistan,TKM,,,9,,,,,9,,,,,9,,,,,6,,,,
Turks and Caicos Islands,TCA,,,,,,,,,,,,,,,,,,,,,,
Tuvalu,TUV,,,,,,,,,,,,,,,,,,,,,,
Uganda,UGA,,,19,,,,,23,,,,,19,,,,,21,,,,
Ukraine,UKR,,,5,,,,,5,,,,,5,,,,,5,,,,
United Arab Emirates,ARE,,,5,,,,,5,,,,,5,,,,,5,,,,
United Kingdom,GBR,,,5,,,,,5,,,,,5,,,,,5,,,,
United States,USA,,,5,,,,,5,,,,,5,,,,,5,,,,
Uruguay,URY,,,5,,,,,5,,,,,5,,,,,5,,,,
Uzbekistan,UZB,,,5,,,,,5,,,,,19,,,,,11,,,,
Vanuatu,VUT,,,10,,,,,9,,,,,8,,,,,7,,,,
"Venezuela, RB",VEN,,,10,,,,,14,,,,,13,,,,,8,,,,
Vietnam,VNM,,,31,,,,,22,,,,,17,,,,,11,,,,
Virgin Islands (U.S.),VIR,,,,,,,,,,,,,,,,,,,,,,
West Bank and Gaza,WBG,,,10,,,,,10,,,,,15,,,,,18,,,,
"Yemen, Rep.",YEM,,,30,,,,,31,,,,,31,,,,,31,,,,
Zambia,ZMB,,,35,,,,,38,,,,,43,,,,,43,,,,
Zimbabwe,ZWE,,,40,,,,,44,,,,,41,,,,,30,,,,
